"year","locationname","datasource","category","measure","data_value_unit","data_value_type","data_value","data_value_footnote_symbol","data_value_footnote","low_confidence_limit","high_confidence_limit","totalpop18plus","totalpopulation","geolocation","locationid","categoryid","measureid","datavaluetypeid","short_question_text"
"2023","01001","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","12.6",,,"11.3","14.0","14019","16984","POINT (-72.6257536 42.0623678)","01001","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01002","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.8",,,"10.5","13.1","23853","27558","POINT (-72.4647946 42.3772116)","01002","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01003","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","12.5",,,"11.0","13.9","13181","13253","POINT (-72.5235844 42.3918827)","01003","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01005","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","13.0",,,"11.7","14.5","3889","4900","POINT (-72.1120769 42.4188835)","01005","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01007","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","12.0",,,"10.7","13.4","12248","15423","POINT (-72.4004088 42.2839351)","01007","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01008","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","12.4",,,"11.1","13.7","1099","1317","POINT (-72.9640756 42.1920235)","01008","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01009","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","13.6",,,"12.1","15.2","779","980","POINT (-72.3418086 42.2113859)","01009","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01010","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","12.4",,,"11.0","13.9","3021","3711","POINT (-72.2053516 42.1281757)","01010","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01011","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","12.6",,,"11.4","13.9","1020","1201","POINT (-72.9665164 42.2901276)","01011","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01012","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.2",,,"9.9","12.6","440","519","POINT (-72.8581917 42.3754254)","01012","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01013","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","13.0",,,"11.6","14.4","18521","23656","POINT (-72.5954964 42.1420092)","01013","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01020","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","13.0",,,"11.7","14.5","24349","29781","POINT (-72.5619195 42.1726105)","01020","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01022","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","12.8",,,"11.4","14.3","1872","2158","POINT (-72.5418718 42.1971867)","01022","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01026","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","12.0",,,"10.7","13.4","864","1011","POINT (-72.9257069 42.4700323)","01026","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01027","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","12.2",,,"10.9","13.6","15089","17896","POINT (-72.7518767 42.2950079)","01027","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01028","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","12.1",,,"10.8","13.5","13065","16417","POINT (-72.498111 42.0623782)","01028","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01238","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.5",,,"10.2","12.9","4855","5722","POINT (-73.2310057 42.3004568)","01238","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01106","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.7",,,"10.4","13.1","12382","16165","POINT (-72.5633225 42.0456953)","01106","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01074","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","13.4",,,"12.0","14.9","426","584","POINT (-72.1038954 42.380823)","01074","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01035","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.1",,,"9.8","12.5","4558","5325","POINT (-72.5686319 42.3564911)","01035","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01029","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.9",,,"10.4","13.5","643","714","POINT (-73.0352919 42.176271)","01029","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01036","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","12.3",,,"10.9","13.8","4162","4966","POINT (-72.4177176 42.0711876)","01036","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01030","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","12.6",,,"11.3","14.0","9538","11708","POINT (-72.6869715 42.0729247)","01030","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01037","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","12.3",,,"11.0","13.8","568","706","POINT (-72.1973636 42.3760363)","01037","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01240","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.4",,,"10.1","12.7","4022","4692","POINT (-73.2666323 42.382693)","01240","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01075","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","12.3",,,"10.9","13.7","15419","18168","POINT (-72.5802475 42.2565324)","01075","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01031","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","12.9",,,"11.6","14.4","1132","1406","POINT (-72.1919682 42.3278092)","01031","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01077","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","12.5",,,"11.2","13.9","7616","9237","POINT (-72.7773529 42.0525703)","01077","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01038","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","12.1",,,"10.8","13.6","2147","2522","POINT (-72.6040447 42.3799252)","01038","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01242","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","10.9",,,"9.6","12.3","375","449","POINT (-73.2491986 42.3337341)","01242","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01107","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","12.9",,,"11.6","14.3","7773","11252","POINT (-72.6070681 42.1210603)","01107","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01108","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","13.2",,,"11.8","14.6","20293","27671","POINT (-72.5595133 42.0829592)","01108","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","01032","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","11.5",,,"10.2","13.0","397","483","POINT (-72.8147797 42.4576127)","01032","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
